provincia,canton,latitud,longitud,AÑO,ASESINATO,FEMICIDIO,HOMICIDIO,SICARIATO,TOTAL
LOJA,LOJA,-4.38736304542458,-80.24613209389945,2021.0,0.0,0.0,0.0,0.0,0.0
LOS RÍOS,LOS RÍOS,-1.7030449938418872,-79.71931399178918,2021.0,2.0,0.0,3.0,0.0,5.0
LOS RÍOS,LOS RÍOS,-1.807206599874431,-79.5345887331659,2021.0,48.0,0.0,3.0,0.0,51.0
LOS RÍOS,LOS RÍOS,-0.898476553052896,-79.49568853740386,2021.0,5.0,1.0,1.0,0.0,7.0
LOS RÍOS,LOS RÍOS,-1.1863222209072355,-79.50902329454298,2021.0,7.0,1.0,0.0,0.0,8.0
LOS RÍOS,LOS RÍOS,-1.790138724611521,-79.29031079948201,2021.0,0.0,0.0,2.0,0.0,2.0
LOS RÍOS,LOS RÍOS,-1.4330817510804164,-79.75685270144056,2021.0,0.0,0.0,0.0,0.0,0.0
LOS RÍOS,LOS RÍOS,-1.5521868878041118,-79.53624885040549,2021.0,18.0,0.0,0.0,1.0,19.0
LOS RÍOS,LOS RÍOS,-1.031261768890284,-79.47206932518705,2021.0,70.0,0.0,1.0,3.0,74.0
LOS RÍOS,LOS RÍOS,-1.2077342044576989,-79.31660617261026,2021.0,3.0,0.0,0.0,0.0,3.0
LOS RÍOS,LOS RÍOS,-1.5695770653534244,-79.42619052047122,2021.0,6.0,0.0,1.0,0.0,7.0
LOS RÍOS,LOS RÍOS,-0.9552813867734002,-79.35584551569788,2021.0,0.0,0.0,0.0,0.0,0.0
LOS RÍOS,LOS RÍOS,-1.4463751919845131,-79.46339778931268,2021.0,12.0,0.0,2.0,1.0,15.0
LOS RÍOS,LOS RÍOS,-1.5888636860147545,-79.80907194801966,2021.0,5.0,0.0,1.0,0.0,6.0
MANABÍ,MANABÍ,-1.4010657683199916,-80.43479045775997,2021.0,3.0,0.0,0.0,0.0,3.0
MANABÍ,MANABÍ,-0.9644055378590488,-80.01069848381205,2021.0,10.0,1.0,0.0,0.0,11.0
MANABÍ,MANABÍ,-0.705638584445142,-80.10345967926018,2021.0,19.0,2.0,0.0,2.0,23.0
MANABÍ,MANABÍ,-0.2758115314602626,-79.47059707528034,2021.0,15.0,0.0,1.0,0.0,16.0
MANABÍ,MANABÍ,-0.4062923348872495,-79.90841434651634,2021.0,2.0,0.0,0.0,1.0,3.0
MANABÍ,MANABÍ,-0.2031103380055459,-80.26493585067406,2021.0,1.0,0.0,0.0,0.0,1.0
MANABÍ,MANABÍ,-0.9735241338722332,-80.66182644516299,2021.0,4.0,0.0,0.0,0.0,4.0
MANABÍ,MANABÍ,-1.3569435566891646,-80.58855940891888,2021.0,2.0,0.0,0.0,0.0,2.0
MANABÍ,MANABÍ,-0.9288371009260712,-80.20849106790142,2021.0,0.0,0.0,0.0,0.0,0.0
MANABÍ,MANABÍ,-0.9764028045989638,-80.72057610613196,2021.0,41.0,0.0,2.0,0.0,43.0
MANABÍ,MANABÍ,-1.047412823716842,-80.66173603162245,2021.0,6.0,0.0,0.0,0.0,6.0
MANABÍ,MANABÍ,-1.3828430992727458,-80.23315056569699,2021.0,0.0,0.0,0.0,0.0,0.0
MANABÍ,MANABÍ,-1.5554185850625226,-80.42820324675003,2021.0,1.0,0.0,1.0,0.0,2.0
MANABÍ,MANABÍ,0.0668604130225501,-80.05743051596993,2021.0,19.0,0.0,2.0,0.0,21.0
MANABÍ,MANABÍ,-1.0454246625438184,-79.82833111672508,2021.0,1.0,1.0,0.0,0.0,2.0
MANABÍ,MANABÍ,-1.0894573589075498,-80.4982641785434,2021.0,23.0,0.0,1.0,3.0,27.0
MANABÍ,MANABÍ,-1.5648698687542508,-80.81716149167234,2021.0,2.0,1.0,1.0,0.0,4.0
MANABÍ,MANABÍ,-0.924767302296866,-80.45230746972915,2021.0,0.0,0.0,1.0,0.0,1.0
MANABÍ,MANABÍ,-0.6069141704598965,-80.4049647606132,2021.0,1.0,0.0,0.0,0.0,1.0
MANABÍ,MANABÍ,-1.2090405058284934,-80.37518087443799,2021.0,10.0,0.0,0.0,0.0,10.0
MANABÍ,MANABÍ,-1.2804579455135248,-80.42722279401802,2021.0,14.0,0.0,0.0,0.0,14.0
MANABÍ,MANABÍ,-0.7885957695704494,-80.2401634927606,2021.0,1.0,0.0,0.0,0.0,1.0
MORONA SANTIAGO,MORONA SANTIAGO,-3.405864029561032,-78.58488157274805,2021.0,0.0,0.0,0.0,0.0,0.0
MORONA SANTIAGO,MORONA SANTIAGO,-1.946955214293936,-77.99102511905858,2021.0,0.0,0.0,0.0,0.0,0.0
MORONA SANTIAGO,MORONA SANTIAGO,-3.1081302633861774,-78.3853110845149,2021.0,0.0,0.0,0.0,0.0,0.0
MORONA SANTIAGO,MORONA SANTIAGO,-2.6211280951812896,-78.22509019357506,2021.0,0.0,0.0,0.0,0.0,0.0
MORONA SANTIAGO,MORONA SANTIAGO,-2.246679826856066,-78.29529620247476,2021.0,2.0,0.0,1.0,1.0,4.0
MORONA SANTIAGO,MORONA SANTIAGO,-1.866654360205096,-78.29426121360679,2021.0,0.0,0.0,0.0,0.0,0.0
MORONA SANTIAGO,MORONA SANTIAGO,-1.705180943875896,-77.97193965850119,2021.0,1.0,0.0,0.0,0.0,1.0
MORONA SANTIAGO,MORONA SANTIAGO,-3.105353480688536,-78.52334464091804,2021.0,0.0,0.0,0.0,0.0,0.0
MORONA SANTIAGO,MORONA SANTIAGO,-2.584860067357296,-78.4876917564764,2021.0,0.0,0.0,0.0,0.0,0.0
MORONA SANTIAGO,MORONA SANTIAGO,-2.460999853413907,-78.17367237121854,2021.0,0.0,0.0,0.0,0.0,0.0
MORONA SANTIAGO,MORONA SANTIAGO,-2.3423828638204363,-77.4622344850939,2021.0,0.0,0.0,1.0,0.0,1.0
